,question
15615,Text a friend you haven't talked to in a long time
15616,Match your storage containers with their lids
15617,Do something you used to do as a kid
15618,Start a garden
15619,Memorize the fifty states and their capitals
15620,Go stargazing
15621,Write a list of things you are grateful for
15622,Go to a concert with local artists with some friends
15623,Listen to music you haven't heard in a while
15624,Sit in the dark and listen to your favorite music with no distractions
15625,Learn Morse code
15626,Go see a movie in theaters with a few friends
15627,Look at pictures and videos of cute animals
15628,Rearrange and organize your room
15629,Compliment someone
15630,Buy a new house decoration
15631,Find a charity and donate to it
15632,Visit a nearby museum
15633,Learn Morse code
15634,Learn to greet someone in a new language
15635,Configure two-factor authentication on your accounts
15636,Do something nice for someone you care about
15637,Learn to sew on a button
15638,Create a meal plan for the coming week
15639,Look at pictures and videos of cute animals
15640,Catch up on world news
15641,Learn the periodic table
15642,Have a football scrimmage with some friends
15643,Go to the gym
15644,Clean out your refrigerator
15645,Pick up litter around your favorite park
15646,Learn to greet someone in a new language
15647,Have a bonfire with your close friends
15648,Invite some friends over for a game night
15649,Read a formal research paper on an interesting subject
15650,Listen to a new podcast
15651,Listen to a new podcast
15652,Improve your touch typing
15653,Color
15654,Catch up on world news
15655,Binge watch a trending series
15656,Research a topic you're interested in
15657,Take your dog on a walk
15658,Solve a Rubik's cube
15659,Clean out your garage
15660,Repaint a room in your house
15661,Create a meal plan for the coming week
15662,Back up important computer files
15663,Take a spontaneous road trip with some friends
15664,Listen to your favorite album
15665,Learn calligraphy
15666,Cook something together with someone
15667,Learn how to iceskate or rollerskate
15668,Go stargazing
15669,Learn how to french braid hair
15670,Learn a new programming language
15671,Watch a movie you'd never usually watch
15672,Go to a concert with local artists with some friends
15673,Write a poem
15674,Uninstall unused apps from your devices
15675,Explore the nightlife of your city
15676,Create or update your resume
15677,Learn the NATO phonetic alphabet
15678,Learn the NATO phonetic alphabet
15679,Listen to music you haven't heard in a while
15680,Resolve a problem you've been putting off
15681,Take your dog on a walk
15682,Patronize a local independent restaurant
15683,Look at your finances and find one way to save money
15684,Learn the periodic table
15685,Learn the Chinese erhu
15686,Have a picnic with some friends
15687,Cook something together with someone
15688,Pick up litter around your favorite park
15689,Start a collection
15690,Resolve a problem you've been putting off
15691,Learn how to write in shorthand
15692,Go to a local thrift shop
15693,Learn how to iceskate or rollerskate
15694,Learn Express.js
15695,Learn to play a new instrument
15696,Take a spontaneous road trip with some friends
15697,Write a list of things you are grateful for
15698,Learn the periodic table
15699,Start a daily journal
15700,Take a nap
15701,Donate blood at a local blood center
15702,Pot some plants and put them around your house
15703,Write a poem
15704,Learn how to use a french press
15705,Catch up with a friend over a lunch date
15706,Make your own LEGO creation
15707,Pick up litter around your favorite park
15708,Repaint a room in your house
15709,Surprise your significant other with something considerate
15710,Learn Express.js
15711,Watch a movie you'd never usually watch
15712,Make a simple musical instrument
15713,Think of a new business idea
15714,Explore a park you have never been to before
15715,Go for a walk
15716,Go to a music festival with some friends
15717,Go stargazing
15718,Learn Morse code
15719,Clean out your closet and donate the clothes you've outgrown
15720,Plan a trip to another country
15721,Organize your movie collection
15722,Take a class at your local community center that interests you
15723,Learn to write with your nondominant hand
15724,Start a blog for something you're passionate about
15725,Shop at support your local farmers market
15726,Clean out your refrigerator
15727,Go to a nail salon
15728,Take a caffeine nap
15729,Study a foreign language
15730,Take your cat on a walk
15731,Practice coding in your favorite lanaguage
15732,Clean out your garage
15733,Learn the periodic table
15734,Do something nice for someone you care about
15735,Hold a video game tournament with some friends
15736,Go see a Broadway production
15737,Go on a fishing trip with some friends
15738,Create a cookbook with your favorite recipes
15739,Play a video game
15740,Watch a Khan Academy lecture on a subject of your choosing
15741,Go to a karaoke bar with some friends
15742,Play a game of Monopoly
15743,Listen to your favorite album
15744,Research a topic you're interested in
15745,Go see a Broadway production
15746,Have a picnic with some friends
15747,Make a scrapbook with pictures of your favorite memories
15748,Create a meal plan for the coming week
15749,Make a bucket list
15750,Draw something interesting
15751,Back up important computer files
15752,Do yoga
15753,Compliment someone
15754,Learn how to french braid hair
15755,Fix something that's broken in your house
15756,Make a bucket list
15757,Binge watch a trending series
15758,Write a short story
15759,Learn the NATO phonetic alphabet
15760,Memorize the fifty states and their capitals
15761,Learn woodworking
15762,Create and follow a savings plan
15763,Make a to-do list for your week
15764,Memorize a favorite quote or poem
15765,Take a hike at a local park
15766,Go to a local thrift shop
15767,Color
15768,Learn Express.js
15769,Learn the Chinese erhu
15770,Have a bonfire with your close friends
15771,Learn how to iceskate or rollerskate
15772,Make bread from scratch
15773,Visit a nearby museum
15774,Go to a concert with some friends
15775,Learn woodworking
15776,Paint the first thing you see
15777,Go see a Broadway production
15778,Write a short story
15779,Learn about the Golden Ratio
15780,Meditate for five minutes
15781,Learn how to play a new sport
15782,Bake pastries for you and your neighbor
15783,Go on a long drive with no music
15784,Paint the first thing you see
15785,Learn the NATO phonetic alphabet
15786,Plant a tree
15787,Give your pet ten minutes of focused attention
15788,Go for a walk
15789,Fix something that's broken in your house
15790,Uninstall unused apps from your devices
15791,Plan a vacation you've always wanted to take
15792,Start a garden
15793,Learn GraphQL
15794,Take a bubble bath
15795,Binge watch a trending series
15796,Research a topic you're interested in
15797,Configure two-factor authentication on your accounts
15798,Surprise your significant other with something considerate
15799,Start a book you've never gotten around to reading
15800,Have a photo session with some friends
15801,Shred old documents you don't need anymore
15802,Volunteer at your local food bank
15803,Learn how the internet works
15804,Learn about a distributed version control system such as Git
15805,Take a class at your local community center that interests you
15806,Research a topic you're interested in
15807,Have a jam session with your friends
15808,Organize your pantry
15809,Memorize a favorite quote or poem
15810,Go stargazing
15811,Rearrange and organize your room
15812,Have a picnic with some friends
15813,Go to a karaoke bar with some friends
15814,Read a formal research paper on an interesting subject
15815,Watch a movie you'd never usually watch
15816,Surprise your significant other with something considerate
15817,Go stargazing
15818,Learn how to french braid hair
15819,Hold a video game tournament with some friends
15820,Learn about a distributed version control system such as Git
15821,Study a foreign language
15822,Listen to a new podcast
15823,Play a game of Monopoly
15824,Have a picnic with some friends
15825,Explore the nightlife of your city
15826,Visit your past teachers
15827,Write a short story
15828,Create a meal plan for the coming week
15829,Catch up with a friend over a lunch date
15830,Surprise your significant other with something considerate
15831,Donate blood at a local blood center
15832,Explore the nightlife of your city
15833,Create or update your resume
15834,Play a video game
15835,Pot some plants and put them around your house
15836,Make your own LEGO creation
15837,Binge watch a trending series
15838,Practice coding in your favorite lanaguage
15839,Start a blog for something you're passionate about
15840,Learn how to iceskate or rollerskate
15841,Listen to music you haven't heard in a while
15842,Configure two-factor authentication on your accounts
15843,Listen to a new podcast
15844,Learn to play a new instrument
15845,Take a caffeine nap
15846,Go on a fishing trip with some friends
15847,Find a DIY to do
15848,Bake a pie with some friends
15849,Take a bubble bath
15850,Sit in the dark and listen to your favorite music with no distractions
15851,Surprise your significant other with something considerate
15852,Create or update your resume
15853,Mow your lawn
15854,Write a list of things you are grateful for
15855,Find a DIY to do
15856,Do something nice for someone you care about
15857,Learn a new programming language
15858,Conquer one of your fears
15859,Take your dog on a walk
15860,Mow your lawn
15861,Write a list of things you are grateful for
15862,Think of a new business idea
15863,Pot some plants and put them around your house
15864,Make a budget
15865,Write a thank you letter to an influential person in your life
15866,Mow your lawn
15867,Learn to play a new instrument
15868,Plan a trip to another country
15869,Prepare a 72-hour kit
15870,Watch the sunset or the sunrise
15871,Compliment someone
15872,Learn origami
15873,Learn about the Golden Ratio
15874,Pick up litter around your favorite park
15875,Watch a Khan Academy lecture on a subject of your choosing
15876,Go to a music festival with some friends
15877,Go on a long drive with no music
15878,Write a song
15879,Research a topic you're interested in
15880,Play a video game
15881,Learn to write with your nondominant hand
15882,Invite some friends over for a game night
15883,Take a bubble bath
15884,Go on a long drive with no music
15885,Draw something interesting
15886,Write a handwritten letter to somebody
15887,Write a list of things you are grateful for
15888,Bake pastries for you and your neighbor
15889,Organize your movie collection
15890,Go to a local thrift shop
15891,Organize your pantry
15892,Solve a Rubik's cube
15893,Watch a Khan Academy lecture on a subject of your choosing
15894,Learn how to use a french press
15895,Play a game of Monopoly
15896,Create a cookbook with your favorite recipes
15897,Play a game of Monopoly
15898,Learn how to make a website
15899,Go on a fishing trip with some friends
15900,Take a bubble bath
15901,Write a short story
15902,Bake something you've never tried before
15903,Back up important computer files
15904,Create or update your resume
15905,Fix something that's broken in your house
15906,Do something you used to do as a kid
15907,Watch the sunset or the sunrise
15908,Take a spontaneous road trip with some friends
15909,Fix something that's broken in your house
15910,Mow your lawn
15911,Learn Javascript
15912,Make a scrapbook with pictures of your favorite memories
15913,Take a class at your local community center that interests you
15914,Draw something interesting
15915,Have a paper airplane contest with some friends
15916,Make a simple musical instrument
15917,Start a book you've never gotten around to reading
15918,Create a cookbook with your favorite recipes
15919,Go to an escape room
15920,Learn how to whistle with your fingers
15921,Learn a new programming language
15922,Memorize a favorite quote or poem
15923,Volunteer at your local food bank
15924,Write a note of appreciation to someone
15925,Create or update your resume
15926,Draw and color a Mandala
15927,Play a game of Monopoly
15928,Play a game of Monopoly
15929,Look at pictures and videos of cute animals
15930,Shred old documents you don't need anymore
15931,Plant a tree
15932,Color
15933,Take your cat on a walk
15934,Make a to-do list for your week
15935,Try a food you don't like
15936,Binge watch a trending series
15937,Learn to play a new instrument
15938,Learn about a distributed version control system such as Git
15939,Learn to sew on a button
15940,Surprise your significant other with something considerate
15941,Draw and color a Mandala
15942,Learn Express.js
15943,Go see a Broadway production
15944,Make a new friend
15945,Start a band
15946,Take a caffeine nap
15947,Learn the periodic table
15948,Fill out a basketball bracket
15949,Organize your movie collection
15950,Write a note of appreciation to someone
15951,Do yoga
15952,Uninstall unused apps from your devices
15953,Learn how to use an Arduino
15954,Explore a park you have never been to before
15955,Try a food you don't like
15956,Practice coding in your favorite lanaguage
15957,Make a bucket list
15958,Solve a Rubik's cube
15959,Explore a park you have never been to before
15960,Color
15961,Write a short story
15962,Go to a karaoke bar with some friends
15963,Hold a yard sale
15964,Write a handwritten letter to somebody
15965,Learn to play a new instrument
15966,Learn how to fold a paper crane
15967,Start a band
15968,Learn to play a new instrument
15969,Resolve a problem you've been putting off
15970,Resolve a problem you've been putting off
15971,Write a handwritten letter to somebody
15972,Fix something that's broken in your house
15973,Bake pastries for you and your neighbor
15974,Create a compost pile
15975,Create and follow a savings plan
15976,Learn GraphQL
15977,Play a video game
15978,Explore the nightlife of your city
15979,Think of a new business idea
15980,Make a to-do list for your week
15981,Look at pictures and videos of cute animals
15982,Clean out your refrigerator
15983,Research a topic you're interested in
15984,Give your pet ten minutes of focused attention
15985,Take a class at your local community center that interests you
15986,Learn the NATO phonetic alphabet
15987,Learn about the Golden Ratio
15988,Organize your movie collection
15989,Have a picnic with some friends
15990,Go to the library and find an interesting book
15991,Start a garden
15992,Patronize a local independent restaurant
15993,Research a topic you're interested in
15994,Make a bucket list
15995,Clean out your refrigerator
15996,Take a spontaneous road trip with some friends
15997,Write a handwritten letter to somebody
15998,Match your storage containers with their lids
15999,Rearrange and organize your room
16000,Write a poem
16001,Learn how to make a website
16002,Prepare a 72-hour kit
16003,Learn how to use a french press
16004,Learn how to iceskate or rollerskate
16005,Go swimming with a friend
16006,Listen to a new podcast
16007,Learn and play a new card game
16008,Catch up with a friend over a lunch date
16009,Learn about the Golden Ratio
16010,Have a paper airplane contest with some friends
16011,Listen to music you haven't heard in a while
16012,Make a bucket list
16013,Write a poem
16014,Take your dog on a walk
16015,Organize your dresser
16016,Have a football scrimmage with some friends
16017,Write a thank you letter to an influential person in your life
16018,Find a DIY to do
16019,Learn the Chinese erhu
16020,Organize your dresser
16021,Take a hike at a local park
16022,Start a blog for something you're passionate about
16023,Host a movie marathon with some friends
16024,Play a volleyball match with some friends
16025,Resolve a problem you've been putting off
16026,Start a webinar on a topic of your choice
16027,Organize a cluttered drawer
16028,Prepare a 72-hour kit
16029,Organize a bookshelf
16030,Contribute code or a monetary donation to an open-source software project
16031,Learn how the internet works
16032,Make homemade ice cream
16033,Have a football scrimmage with some friends
16034,Go to a nail salon
16035,Learn Express.js
16036,Conquer one of your fears
16037,Learn about the Golden Ratio
16038,Memorize a favorite quote or poem
16039,Have a football scrimmage with some friends
16040,Start a webinar on a topic of your choice
16041,Pull a harmless prank on one of your friends
16042,Learn how to fold a paper crane
16043,Plan a vacation you've always wanted to take
16044,Write a handwritten letter to somebody
16045,Learn how to use an Arduino
16046,Play a game of tennis with a friend
16047,Learn how to beatbox
16048,Learn to play a new instrument
16049,Catch up on world news
16050,Learn Express.js
16051,Text a friend you haven't talked to in a long time
16052,Write a note of appreciation to someone
16053,Create and follow a savings plan
16054,Explore the nightlife of your city
16055,Buy a new house decoration
16056,Make a budget
16057,Play a game of tennis with a friend
16058,Have a picnic with some friends
16059,Contribute code or a monetary donation to an open-source software project
16060,Watch a movie you'd never usually watch
16061,Start a daily journal
16062,Configure two-factor authentication on your accounts
16063,Take a spontaneous road trip with some friends
16064,Organize your basement
16065,Organize a bookshelf
16066,Study a foreign language
16067,Clean out your refrigerator
16068,Learn GraphQL
16069,Invite some friends over for a game night
16070,Think of a new business idea
16071,Volunteer at a local animal shelter
16072,Write a note of appreciation to someone
16073,Go to a local thrift shop
16074,Have a bonfire with your close friends
16075,Buy a new house decoration
16076,Take a caffeine nap
16077,Create and follow a savings plan
16078,Watch the sunset or the sunrise
16079,Write a short story
16080,Make homemade ice cream
16081,Listen to a new podcast
16082,Learn about the Golden Ratio
16083,Catch up on world news
16084,Find a DIY to do
16085,Give your pet ten minutes of focused attention
16086,Watch a Khan Academy lecture on a subject of your choosing
16087,Organize your movie collection
16088,Rearrange and organize your room
16089,Volunteer at a local animal shelter
16090,Configure two-factor authentication on your accounts
16091,Learn GraphQL
16092,Write a short story
16093,Back up important computer files
16094,Find a DIY to do
16095,Compliment someone
16096,Organize your basement
16097,Solve a Rubik's cube
16098,Learn the periodic table
16099,Write a list of things you are grateful for
16100,Contribute code or a monetary donation to an open-source software project
16101,Plan a vacation you've always wanted to take
16102,Start a blog for something you're passionate about
16103,Start a collection
16104,Start a webinar on a topic of your choice
16105,Conquer one of your fears
16106,Draft your living will
16107,Organize a bookshelf
16108,Pot some plants and put them around your house
16109,Improve your touch typing
16110,Wash your car
16111,Paint the first thing you see
16112,Conquer one of your fears
16113,Conquer one of your fears
16114,Draw something interesting
16115,Make a simple musical instrument
16116,Draw and color a Mandala
16117,Create a compost pile
16118,Solve a Rubik's cube
16119,Play a volleyball match with some friends
16120,Learn about the Golden Ratio
16121,Make a bucket list
16122,Learn about the Golden Ratio
16123,Learn GraphQL
16124,Make a new friend
16125,Donate blood at a local blood center
16126,Learn how to iceskate or rollerskate
16127,Learn about a distributed version control system such as Git
16128,Rearrange and organize your room
16129,Make a couch fort
16130,Start a collection
16131,Organize your basement
16132,Make a couch fort
16133,Draw something interesting
16134,Write a song
16135,Write a handwritten letter to somebody
16136,Volunteer at your local food bank
16137,Make bread from scratch
16138,Start a band
16139,Start a blog for something you're passionate about
16140,Binge watch a trending series
16141,Learn to write with your nondominant hand
16142,Make bread from scratch
16143,Learn how to make an Alexa skill
16144,Go to the library and find an interesting book
16145,Sit in the dark and listen to your favorite music with no distractions
16146,Look at your finances and find one way to save money
16147,Clean out your refrigerator
16148,Configure two-factor authentication on your accounts
16149,Go on a long drive with no music
16150,Repaint a room in your house
16151,Find a charity and donate to it
16152,Volunteer and help out at a senior center
16153,Make homemade ice cream
16154,Draft your living will
16155,Mow your neighbor's lawn
16156,Create or update your resume
16157,Mow your lawn
16158,Fix something that's broken in your house
16159,Learn origami
16160,Donate to your local food bank
16161,Prepare a dish from a foreign culture
16162,Create or update your resume
16163,Back up important computer files
16164,Sit in the dark and listen to your favorite music with no distractions
16165,Hold a yard sale
16166,Learn Javascript
16167,Do something you used to do as a kid
16168,Organize your dresser
16169,Make your own LEGO creation
16170,Start a blog for something you're passionate about
16171,Volunteer at your local food pantry
16172,Go on a long drive with no music
16173,Make a scrapbook with pictures of your favorite memories
16174,Go to a concert with some friends
16175,Volunteer at your local food bank
16176,Go on a fishing trip with some friends
16177,Have a bonfire with your close friends
16178,Plan a vacation you've always wanted to take
16179,Look at pictures and videos of cute animals
16180,Create a compost pile
16181,Take a caffeine nap
16182,Write a list of things you are grateful for
16183,Write a note of appreciation to someone
16184,Plan a vacation you've always wanted to take
16185,Go to a concert with some friends
16186,Learn the NATO phonetic alphabet
16187,Have a picnic with some friends
16188,Learn how to write in shorthand
16189,Learn how to play a new sport
16190,Catch up on world news
16191,Watch the sunset or the sunrise
16192,Meditate for five minutes
16193,Have a paper airplane contest with some friends
16194,Pot some plants and put them around your house
16195,Learn Kotlin
16196,Have a bonfire with your close friends
16197,Have a paper airplane contest with some friends
16198,Learn how to write in shorthand
16199,Go for a run
16200,Read a formal research paper on an interesting subject
16201,Learn how to play a new sport
16202,Volunteer at your local food pantry
16203,Learn the Chinese erhu
16204,Learn woodworking
16205,Practice coding in your favorite lanaguage
16206,Uninstall unused apps from your devices
16207,Learn Javascript
16208,Have a paper airplane contest with some friends
16209,Learn how to use a french press
16210,Volunteer and help out at a senior center
16211,Learn woodworking
16212,Conquer one of your fears
16213,Take a spontaneous road trip with some friends
16214,Make a new friend
16215,Start a collection
16216,Uninstall unused apps from your devices
16217,Wash your car
16218,Pot some plants and put them around your house
16219,Take a caffeine nap
16220,Buy a new house decoration
16221,Learn to play a new instrument
16222,Compliment someone
16223,Go to a concert with some friends
16224,Learn the Chinese erhu
16225,Create a cookbook with your favorite recipes
16226,Prepare a 72-hour kit
16227,Color
16228,Pull a harmless prank on one of your friends
16229,Learn Express.js
16230,Start a blog for something you're passionate about
16231,Create a compost pile
16232,Go to a karaoke bar with some friends
16233,Create a meal plan for the coming week
16234,Organize your pantry
16235,Learn origami
16236,Clean out your closet and donate the clothes you've outgrown
16237,Play a video game
16238,Conquer one of your fears
16239,Do a jigsaw puzzle
16240,Catch up with a friend over a lunch date
16241,Watch the sunset or the sunrise
16242,Shop at support your local farmers market
16243,Create and follow a savings plan
16244,Listen to music you haven't heard in a while
16245,Pull a harmless prank on one of your friends
16246,Go to a nail salon
16247,Write a thank you letter to an influential person in your life
16248,Clean out your garage
16249,Create a meal plan for the coming week
16250,Make a new friend
16251,Create a personal website
16252,Clean out your closet and donate the clothes you've outgrown
16253,Clean out your garage
16254,Play a game of Monopoly
16255,Learn to greet someone in a new language
16256,Create a personal website
16257,Draw something interesting
16258,Memorize the fifty states and their capitals
16259,Play a volleyball match with some friends
16260,Watch a classic movie
16261,Pull a harmless prank on one of your friends
16262,Sit in the dark and listen to your favorite music with no distractions
16263,Go for a walk
16264,Make a scrapbook with pictures of your favorite memories
16265,Shop at support your local farmers market
16266,Learn woodworking
16267,Go to an escape room
16268,Fix something that's broken in your house
16269,Memorize a favorite quote or poem
16270,Make a scrapbook with pictures of your favorite memories
16271,Create or update your resume
16272,Have a jam session with your friends
16273,Make a simple musical instrument
16274,Watch a classic movie
16275,Make a simple musical instrument
16276,Start a band
16277,Bake a pie with some friends
16278,Learn the NATO phonetic alphabet
16279,Make homemade ice cream
16280,Learn the periodic table
16281,Paint the first thing you see
16282,Sit in the dark and listen to your favorite music with no distractions
16283,Go for a run
16284,Clean out your car
16285,Go to a karaoke bar with some friends
16286,Learn the periodic table
16287,Give your pet ten minutes of focused attention
16288,Have a picnic with some friends
16289,Explore the nightlife of your city
16290,Watch a classic movie
16291,Bake pastries for you and your neighbor
16292,Patronize a local independent restaurant
16293,Learn calligraphy
16294,Volunteer at your local food bank
16295,Go to a concert with local artists with some friends
16296,Contribute code or a monetary donation to an open-source software project
16297,Go stargazing
16298,Conquer one of your fears
16299,Create a personal website
16300,Volunteer at your local food bank
16301,Write a handwritten letter to somebody
16302,Shred old documents you don't need anymore
16303,Start a daily journal
16304,Improve your touch typing
16305,Take a hike at a local park
16306,Bake pastries for you and your neighbor
16307,Conquer one of your fears
16308,Clean out your garage
16309,Organize your movie collection
16310,Draw something interesting
16311,Bake a pie with some friends
16312,Learn how to make an Alexa skill
16313,Paint the first thing you see
16314,Create a meal plan for the coming week
16315,Explore a park you have never been to before
16316,Write a handwritten letter to somebody
16317,Volunteer at your local food pantry
16318,Do something nice for someone you care about
16319,Create a cookbook with your favorite recipes
16320,Go stargazing
16321,Paint the first thing you see
16322,Contribute code or a monetary donation to an open-source software project
16323,Start a band
16324,Play a volleyball match with some friends
16325,Create a personal website
16326,Go for a run
16327,Go for a walk
16328,Fix something that's broken in your house
16329,Fill out a basketball bracket
16330,Learn calligraphy
16331,Back up important computer files
16332,Go stargazing
16333,Go stargazing
16334,Create a meal plan for the coming week
16335,Take a bubble bath
16336,Write a note of appreciation to someone
16337,Make a new friend
16338,Learn to play a new instrument
16339,Learn how to beatbox
16340,Draw something interesting
16341,Create and follow a savings plan
16342,Write a short story
16343,Play a game of tennis with a friend
16344,Go see a movie in theaters with a few friends
16345,Do something nice for someone you care about
16346,Learn GraphQL
16347,Watch a Khan Academy lecture on a subject of your choosing
16348,Wash your car
16349,Visit your past teachers
16350,Research a topic you're interested in
16351,Cook something together with someone
16352,Watch a classic movie
16353,Teach your dog a new trick
16354,Volunteer at a local animal shelter
16355,Create a meal plan for the coming week
16356,Uninstall unused apps from your devices
16357,Make a new friend
16358,Have a jam session with your friends
16359,Organize your dresser
16360,Plant a tree
16361,Go on a fishing trip with some friends
16362,Study a foreign language
16363,Learn about the Golden Ratio
16364,Learn calligraphy
16365,Wash your car
16366,Learn to sew on a button
16367,Host a movie marathon with some friends
16368,Hold a yard sale
16369,Clean out your closet and donate the clothes you've outgrown
16370,Take a class at your local community center that interests you
16371,Think of a new business idea
16372,Make bread from scratch
16373,Learn to sew on a button
16374,Create a cookbook with your favorite recipes
16375,Clean out your closet and donate the clothes you've outgrown
16376,Clean out your garage
16377,Draft your living will
16378,Shred old documents you don't need anymore
16379,Play a video game
16380,Make your own LEGO creation
16381,Sit in the dark and listen to your favorite music with no distractions
16382,Organize a cluttered drawer
16383,Organize your dresser
16384,Go on a long drive with no music
16385,Go to the gym
16386,Mow your neighbor's lawn
16387,Go to a concert with some friends
16388,Pull a harmless prank on one of your friends
16389,Learn and play a new card game
16390,Learn how to use a french press
16391,Start a webinar on a topic of your choice
16392,Organize your music collection
16393,Start a family tree
16394,Volunteer at a local animal shelter
16395,Learn how to fold a paper crane
16396,Play a video game
16397,Try a food you don't like
16398,Solve a Rubik's cube
16399,Color
16400,Draw something interesting
16401,Volunteer at a local animal shelter
16402,Learn woodworking
16403,Prepare a 72-hour kit
16404,Organize your pantry
16405,Solve a Rubik's cube
16406,Have a paper airplane contest with some friends
16407,Visit a nearby museum
16408,Create a meal plan for the coming week
16409,Configure two-factor authentication on your accounts
16410,Learn how to make an Alexa skill
16411,Meditate for five minutes
16412,Host a movie marathon with some friends
16413,Surprise your significant other with something considerate
16414,Play a game of tennis with a friend
16415,Start a band
16416,Go to the library and find an interesting book
16417,Back up important computer files
16418,Back up important computer files
16419,Learn how to play a new sport
16420,Research a topic you're interested in
16421,Start a family tree
16422,Write a poem
16423,Go see a movie in theaters with a few friends
16424,Catch up with a friend over a lunch date
16425,Watch a Khan Academy lecture on a subject of your choosing
16426,Fix something that's broken in your house
16427,Start a collection
16428,Clean out your garage
16429,Prepare a dish from a foreign culture
16430,Pot some plants and put them around your house
16431,Bake pastries for you and your neighbor
16432,Start a garden
16433,Volunteer and help out at a senior center
16434,Learn a new programming language
16435,Do yoga
16436,Find a DIY to do
16437,Write a song
16438,Learn to sew on a button
16439,Learn woodworking
16440,Match your storage containers with their lids
16441,Take your dog on a walk
16442,Go see a Broadway production
16443,Pot some plants and put them around your house
16444,Buy a new house decoration
16445,Create a compost pile
16446,Learn how to use an Arduino
16447,Find a charity and donate to it
16448,Learn Javascript
16449,Uninstall unused apps from your devices
16450,Go see a Broadway production
16451,Sit in the dark and listen to your favorite music with no distractions
16452,Give your pet ten minutes of focused attention
16453,Start a webinar on a topic of your choice
16454,Organize your dresser
16455,Watch a movie you'd never usually watch
16456,Sit in the dark and listen to your favorite music with no distractions
16457,Play a game of tennis with a friend
16458,Organize your basement
16459,Sit in the dark and listen to your favorite music with no distractions
16460,Mow your neighbor's lawn
16461,Fill out a basketball bracket
16462,Play a game of Monopoly
16463,Learn how to fold a paper crane
16464,Make a couch fort
16465,Go stargazing
16466,Learn Javascript
16467,Pick up litter around your favorite park
16468,Write a poem
16469,Make a budget
16470,Improve your touch typing
16471,Explore a park you have never been to before
16472,Hold a video game tournament with some friends
16473,Surprise your significant other with something considerate
16474,Plan a trip to another country
16475,Write a note of appreciation to someone
16476,Watch a Khan Academy lecture on a subject of your choosing
16477,Learn Express.js
16478,Memorize a favorite quote or poem
16479,Learn to greet someone in a new language
16480,Listen to a new podcast
16481,Play a volleyball match with some friends
16482,Start a book you've never gotten around to reading
16483,Create and follow a savings plan
16484,Learn how to iceskate or rollerskate
16485,Resolve a problem you've been putting off
16486,Explore the nightlife of your city
16487,Make a budget
16488,Go see a movie in theaters with a few friends
16489,Clean out your car
16490,Invite some friends over for a game night
16491,Play a game of tennis with a friend
16492,Learn Morse code
16493,Learn how to make a website
16494,Organize your music collection
16495,Go to a local thrift shop
16496,Organize a bookshelf
16497,Learn to play a new instrument
16498,Organize your movie collection
16499,Write a short story
16500,Learn how to use a french press
16501,Create a compost pile
16502,Plan a vacation you've always wanted to take
16503,Learn to play a new instrument
16504,Improve your touch typing
16505,Prepare a dish from a foreign culture
16506,Create or update your resume
16507,Have a picnic with some friends
16508,Learn Express.js
16509,Watch a classic movie
16510,Mow your lawn
16511,Take your cat on a walk
16512,Make a to-do list for your week
16513,Contribute code or a monetary donation to an open-source software project
16514,Go to a nail salon
16515,Start a daily journal
16516,Start a book you've never gotten around to reading
16517,Watch a movie you'd never usually watch
16518,Learn calligraphy
16519,Play a game of tennis with a friend
16520,Have a paper airplane contest with some friends
16521,Make homemade ice cream
16522,Play a game of Monopoly
16523,Resolve a problem you've been putting off
16524,Learn Morse code
16525,Have a picnic with some friends
16526,Take a hike at a local park
16527,Play a game of tennis with a friend
16528,Bake pastries for you and your neighbor
16529,Learn to play a new instrument
16530,Catch up with a friend over a lunch date
16531,Go to a nail salon
16532,Pull a harmless prank on one of your friends
16533,Learn how to french braid hair
16534,Sit in the dark and listen to your favorite music with no distractions
16535,Learn the Chinese erhu
16536,Start a family tree
16537,Create a meal plan for the coming week
16538,Practice coding in your favorite lanaguage
16539,Go swimming with a friend
16540,Text a friend you haven't talked to in a long time
16541,Donate to your local food bank
16542,Learn the NATO phonetic alphabet
16543,Organize a cluttered drawer
16544,Learn how to play a new sport
16545,Shop at support your local farmers market
16546,Back up important computer files
16547,Hold a video game tournament with some friends
16548,Learn to sew on a button
16549,Clean out your closet and donate the clothes you've outgrown
16550,Learn how to fold a paper crane
16551,Learn the Chinese erhu
16552,Create a personal website
16553,Look at pictures and videos of cute animals
16554,Go to a concert with some friends
16555,Invite some friends over for a game night
16556,Go to a nail salon
16557,Binge watch a trending series
16558,Volunteer at your local food bank
16559,Plan a trip to another country
16560,Cook something together with someone
16561,Research a topic you're interested in
16562,Give your pet ten minutes of focused attention
16563,Make your own LEGO creation
16564,Find a charity and donate to it
16565,Hold a yard sale
16566,Start a daily journal
16567,Wash your car
16568,Play basketball with a group of friends
16569,Learn origami
16570,Go to a concert with some friends
16571,Learn Morse code
16572,Catch up on world news
16573,Take a nap
16574,Start a band
16575,Take your dog on a walk
16576,Plan a vacation you've always wanted to take
16577,Volunteer at your local food pantry
16578,Go on a fishing trip with some friends
16579,Prepare a dish from a foreign culture
16580,Clean out your car
16581,Learn to sew on a button
16582,Clean out your refrigerator
16583,Try a food you don't like
16584,Cook something together with someone
16585,Organize a cluttered drawer
16586,Organize a bookshelf
16587,Repaint a room in your house
16588,Make a simple musical instrument
